Référence du projet;Méthode;Nom du projet;RE potentielles (tCO2);RE vérifiées (tCO2);Région administrative;Demandeur;Date de notification;Date de labelisation;Financé à
32151724;Boisement;Alliance Forêts Bois / GCF n°828 - Lonlay-l'Abbaye 1 (61) ;636;0;Normandie;Alliance Forêts bois;24/06/2026;11/08/2026;0.00 %
29449100;Boisement;Alliance Forêts Bois / GCF n°817 - Livarot-Pays-d'Auge 2 (14) ;192;0;Normandie;Alliance Forêts bois;18/02/2026;11/08/2026;0.00 %
30002178;Boisement;CNPF C+for n° 260 Audinghen (Deloitte France n° 9);671;0;Hauts-de-France;Olivier GLEIZES;19/03/2026;05/08/2026;0.00 %
30488933;Boisement;CNPF C+for n° 264 Tortefontaine;434;0;Hauts-de-France;Olivier GLEIZES;08/04/2026;04/08/2026;0.00 %
22326485;Reboisement;CNPF C+for n° 218 Saint-Méry (Eurofred, Gree Products France & Rolesco France n° 1);825;0;Ile de France;Olivier GLEIZES;05/02/2025;31/07/2026;0.00 %
26480867;Rénovation;CB3;628;0;Ile de France;WO2 HOLDING;17/09/2025;31/07/2026;0.00 %
28315554;Boisement;CNPF C+for n° 243 Castelsagrat (Pierre Fabre n° 8);1028;0;Occitanie;Olivier GLEIZES;22/01/2026;27/07/2026;0.00 %
22244016;Reboisement;SF²X4C_LE MONT;1664;0;Occitanie;SOCIETE FORESTIERE DE LA CAISSE DES DEPOTS ET CONSIGNATIONS;31/01/2025;27/07/2026;0.00 %
26969416;Boisement;Alliance Forêts Bois / GCF n°716 - Aussos 1 (32);410;0;Occitanie;Alliance Forêts bois;07/10/2025;27/07/2026;0.00 %
22244744;Reboisement;SF²X4C_LES ESCAUNELLES;3623;0;Occitanie;SOCIETE FORESTIERE DE LA CAISSE DES DEPOTS ET CONSIGNATIONS;31/01/2025;27/07/2026;0.00 %
26969747;Boisement;Alliance Forêts Bois / GCF n°719 - Lafitte 2 (82);581;0;Occitanie;Alliance Forêts bois;07/10/2025;27/07/2026;0.00 %
10821519;Vergers collectifs;VERGERS CDA 2;2597;0;Occitanie;CO2RESPONSABLES;08/12/2022;27/07/2026;0.00 %
26417854;Boisement;Alliance Forêt Bois / GCF n°673 - Garrigues 1 (81) ;508;0;Occitanie;Alliance Forêts bois;15/09/2025;27/07/2026;0.00 %
26430128;Reboisement;Reboisement de Boron ;2667;0;Pays de la Loire;Kloros;18/12/2025;24/07/2026;0.00 %
22167778;Boisement;Saint-Mars-d'Outille - Fransylva Services;632;0;Pays de la Loire;Fransylva Services ;28/01/2025;24/07/2026;0.00 %
29425820;Boisement;Boisement de terres agricoles - la Perrine;399;0;Pays de la Loire;SELARL PLAI-LEBLANC-LELIEVRE;04/03/2026;23/07/2026;0.00 %
26435928;Boisement;Fransylva services - Vieillevigne 2 ;7381;0;Pays de la Loire;FRANSYLVA SERVICES;15/09/2025;23/07/2026;0.00 %
29788330;Haies;Haies de la Cour Pean;597;0;Pays de la Loire;Le Printemps des Terres S.A.S;06/03/2026;23/07/2026;0.00 %
26372936;Boisement;Ecotree - Pays de la Loire (53) - 07;1971;0;Pays de la Loire;Ecotree;12/09/2025;23/07/2026;0.00 %
28320531;Boisement;Beauchamps sur Huillard - Fransylva Services;309;0;Centre Val de Loire;FRANSYLVA SERVICES;18/12/2025;22/07/2026;0.00 %
27962825;CarbonAgri;Projet de transition bas carbone en élevages bovins, Nouvelle Aquitaine - Oklima;23520;0;Nouvelle Aquitaine;Oklima;28/11/2025;21/07/2026;0.00 %
28595755;Reboisement;ONF - REBOISEMENT EN FORET COMMUNALE DE CLUNY;1307;0;Bourgogne Franche Comté;OFFICE NATIONAL DES FORETS BOURGOGNE FRANCHE COMTE;18/11/2025;21/07/2026;0.00 %
23412221;Reboisement;SYLVO/Coopérative CFBL n°21 - SAINT AGNAN - 2 (58);867;0;Bourgogne Franche Comté;CFBL Coopérative Forestière;02/04/2025;21/07/2026;0.00 %
27378344;Boisement;Oklima - Boisement à Gaujacq;888;0;Nouvelle Aquitaine;Oklima;27/10/2025;17/07/2026;0.00 %
31400180;Boisement;Projet Néosylva - Nouvelle-Aquitaine (64) - 2LEBR-125;2093;0;Nouvelle Aquitaine;NEOSYLVA INVESTISSEMENT FORESTIER;20/05/2026;17/07/2026;0.00 %
30137397;Boisement;CNPF C+for n° 236 Lamonzie-Saint-Martin (Suez n° 1);727;0;Nouvelle Aquitaine;Olivier GLEIZES;23/03/2026;17/07/2026;100.00 %
